,RANK,BRAND,CATEGORIES,SUBCATEGORIES,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
82,83,Channing Tatum,celebrities,actors,13M,4.72%,485k,718
83,84,Robert Downey Jr.,celebrities,tv,12.9M,3.65%,818.1k,133
84,85,elliegoulding,celebrities,musicians,12.9M,1.75%,648.9k,3.6k
85,86,50 Cent,celebrities,musicians,12.9M,0.89%,688.5k,1.4k
86,87,Starbucks Coffee,beverages,,12.6M,3.19%,25.9M,1.3k
87,88,Anastasia Beverly Hills,beauty,,12.3M,1.05%,7.7M,8.9k
88,89,Luan Santana,celebrities,musicians,12.2M,1.64%,590.7k,2.7k
89,90,Chloe Grace Moretz,celebrities,actors,12.2M,4.10%,47.6k,2.4k
90,91,adidas,fashion,sport,12.1M,1.52%,26.3M,1k
91,92,forever21,fashion,,12.1M,1.68%,3.9M,3.8k
92,93,Gucci,fashion,luxury,12M,0.55%,34.2M,2.6k
93,94,Louis Tomlinson,celebrities,musicians,11.8M,11.42%,25.5M,148
94,95,G-DRAGON,celebrities,fashion,11.8M,4.45%,4.6M,1.9k
95,96,DanialvesD2 My Twitter,celebrities,athletes,11.7M,1.62%,122.4k,1.7k
96,97,Dolce & Gabbana,fashion,luxury,11.7M,0.48%,6.1M,3.9k
97,98,Tyga / T-Raww,celebrities,musicians,11.6M,1.31%,1.2M,2.5k
98,99,Paul Labile Pogba,celebrities,athletes,11.5M,6.11%,77.6k,396
99,100,Barack Obama,celebrities,political,11.5M,3.37%,2.5M,231
